;(mm) Precipitation (ERA5_AG) at CE_ID_0. 2019-08-01 to 2024-08-01
23-3-2020;0.00
24-3-2020;0.00
25-3-2020;0.00
26-3-2020;0.00
27-3-2020;0.07
28-3-2020;0.11
29-3-2020;0.00
30-3-2020;0.00
31-3-2020;0.00
1-4-2020;0.00
2-4-2020;0.00
3-4-2020;0.28
4-4-2020;20929.00
5-4-2020;0.14
6-4-2020;0.00
7-4-2020;0.00
8-4-2020;0.26
9-4-2020;11744.00
10-4-2020;0.59
11-4-2020;0.00
12-4-2020;0.00
13-4-2020;0.00
14-4-2020;0.00
15-4-2020;0.04
16-4-2020;0.01
17-4-2020;0.16
18-4-2020;0.47
19-4-2020;0.18
20-4-2020;0.04
21-4-2020;0.00
22-4-2020;0.00
23-4-2020;0.05
24-4-2020;0.00
25-4-2020;0.00
26-4-2020;0.01
27-4-2020;0.73
28-4-2020;21656.00
29-4-2020;0.28
30-4-2020;0.00
1-5-2020;0.00
2-5-2020;0.00
3-5-2020;0.00
4-5-2020;0.00
5-5-2020;0.02
6-5-2020;0.00
7-5-2020;0.08
8-5-2020;0.00
9-5-2020;0.00
10-5-2020;0.01
11-5-2020;0.00
12-5-2020;0.00
13-5-2020;0.00
14-5-2020;0.00
15-5-2020;0.00
16-5-2020;0.00
17-5-2020;0.28
18-5-2020;0.00
19-5-2020;0.00
20-5-2020;0.00
21-5-2020;0.47
22-5-2020;0.00
23-5-2020;0.00
24-5-2020;0.00
25-5-2020;0.00
26-5-2020;0.00
27-5-2020;0.00
28-5-2020;0.00
29-5-2020;0.00
30-5-2020;0.00
31-5-2020;0.00
1-6-2020;0.00
2-6-2020;0.00
3-6-2020;0.00
4-6-2020;0.00
5-6-2020;0.00
6-6-2020;0.02
7-6-2020;0.06
8-6-2020;0.00
9-6-2020;0.00
10-6-2020;0.00
11-6-2020;0.00
12-6-2020;0.00
13-6-2020;0.00
14-6-2020;0.00
15-6-2020;0.00
16-6-2020;0.00
17-6-2020;10462.00
18-6-2020;0.02
19-6-2020;0.10
20-6-2020;0.00
21-6-2020;0.00
22-6-2020;0.00
23-6-2020;0.00
24-6-2020;0.00
25-6-2020;0.04
26-6-2020;0.03
27-6-2020;0.00
28-6-2020;0.00
29-6-2020;0.00
30-6-2020;0.00
1-7-2020;0.00
2-7-2020;0.00
3-7-2020;0.00
4-7-2020;0.00
5-7-2020;0.00
6-7-2020;0.00
7-7-2020;0.00
8-7-2020;0.24
9-7-2020;0.29
10-7-2020;0.00
11-7-2020;0.00
12-7-2020;0.00
13-7-2020;0.00
14-7-2020;0.00
15-7-2020;0.00
16-7-2020;0.00
17-7-2020;0.00
18-7-2020;0.00
19-7-2020;0.00
20-7-2020;0.00
21-7-2020;0.00
22-7-2020;0.00
23-7-2020;0.00
24-7-2020;0.00
25-7-2020;0.00
26-7-2020;0.00
27-7-2020;0.00
28-7-2020;0.47
29-7-2020;0.00
30-7-2020;0.00
31-7-2020;0.00
1-8-2020;0.00
2-8-2020;0.00
3-8-2020;0.00
4-8-2020;0.00
5-8-2020;0.00
6-8-2020;0.00
7-8-2020;0.01
8-8-2020;0.00
9-8-2020;0.00
10-8-2020;0.00
11-8-2020;0.00
12-8-2020;0.00
13-8-2020;0.00
14-8-2020;0.00
15-8-2020;0.00
16-8-2020;0.00
17-8-2020;0.06
18-8-2020;0.00
19-8-2020;0.00
20-8-2020;0.67
21-8-2020;0.01
22-8-2020;0.06
23-8-2020;0.00
24-8-2020;0.00
25-8-2020;0.00
26-8-2020;0.00
27-8-2020;0.03
28-8-2020;0.01
29-8-2020;0.04
30-8-2020;0.00
31-8-2020;27817.00
1-9-2020;13313.00
2-9-2020;11088.00
3-9-2020;0.00
4-9-2020;0.00
5-9-2020;0.00
6-9-2020;0.00
7-9-2020;0.00
8-9-2020;0.00
9-9-2020;0.00
10-9-2020;0.00
11-9-2020;0.00
12-9-2020;0.00
13-9-2020;0.00
14-9-2020;0.00
15-9-2020;0.00
16-9-2020;0.01
17-9-2020;0.83
18-9-2020;0.00
19-9-2020;0.00
20-9-2020;0.00
21-9-2020;0.00
22-9-2020;0.12
23-9-2020;0.00
24-9-2020;0.00
25-9-2020;0.00
26-9-2020;0.00
27-9-2020;0.00
28-9-2020;0.00
29-9-2020;0.00
30-9-2020;0.31
1-10-2020;0.32
2-10-2020;0.75
3-10-2020;0.37
4-10-2020;0.00
5-10-2020;0.60
6-10-2020;124347.00
7-10-2020;5.23
8-10-2020;47399.00
9-10-2020;0.49
10-10-2020;0.00
11-10-2020;1.00
12-10-2020;0.90
13-10-2020;0.23
14-10-2020;0.00
15-10-2020;0.03
16-10-2020;0.00
17-10-2020;0.00
18-10-2020;0.03
19-10-2020;0.01
20-10-2020;0.00
21-10-2020;0.01
22-10-2020;0.00
23-10-2020;0.00
24-10-2020;0.00
25-10-2020;0.00
26-10-2020;0.00
27-10-2020;0.00
28-10-2020;0.00
29-10-2020;0.00
30-10-2020;0.00
31-10-2020;0.01
1-11-2020;16566.00
2-11-2020;0.39
3-11-2020;0.51
4-11-2020;77157.00
5-11-2020;58807.00
6-11-2020;0.06
7-11-2020;0.00
8-11-2020;0.12
9-11-2020;0.01
10-11-2020;0.15
11-11-2020;16651.00
12-11-2020;0.52
13-11-2020;0.00
14-11-2020;0.00
15-11-2020;0.00
16-11-2020;0.00
17-11-2020;0.00
18-11-2020;0.30
19-11-2020;0.00
20-11-2020;0.02
21-11-2020;0.22
22-11-2020;20392.00
23-11-2020;46463.00
24-11-2020;11059.00
25-11-2020;155482.00
26-11-2020;37838.00
27-11-2020;0.00
28-11-2020;0.54
29-11-2020;3288.00
30-11-2020;25507.00
1-12-2020;0.05
2-12-2020;25347.00
3-12-2020;0.22
4-12-2020;0.46
5-12-2020;108495.00
6-12-2020;2333.00
7-12-2020;0.54
8-12-2020;18356.00
9-12-2020;0.06
10-12-2020;0.00
11-12-2020;0.00
12-12-2020;0.28
13-12-2020;24067.00
14-12-2020;68257.00
15-12-2020;9563.00
16-12-2020;356848.00
17-12-2020;203978.00
18-12-2020;188126.00
19-12-2020;128159.00
20-12-2020;13153.00
21-12-2020;0.91
22-12-2020;34319.00
23-12-2020;2016.00
24-12-2020;160078.00
25-12-2020;0.38
26-12-2020;0.34
27-12-2020;12388.00
28-12-2020;0.22
29-12-2020;1074.00
30-12-2020;0.02
31-12-2020;0.40
1-1-2021;17193.00
2-1-2021;24187.00
3-1-2021;0.32
4-1-2021;0.15
5-1-2021;0.25
6-1-2021;64183.00
7-1-2021;9115.00
8-1-2021;0.30
9-1-2021;0.50
10-1-2021;0.36
11-1-2021;1.00
12-1-2021;0.16
13-1-2021;0.05
14-1-2021;14073.00
15-1-2021;34315.00
16-1-2021;130213.00
17-1-2021;81849.00
18-1-2021;0.33
19-1-2021;0.28
20-1-2021;38171.00
21-1-2021;273024.00
22-1-2021;0.41
23-1-2021;1791.00
24-1-2021;360104.00
25-1-2021;134489.00
26-1-2021;7029.00
27-1-2021;104341.00
28-1-2021;140558.00
29-1-2021;67446.00
30-1-2021;15435.00
31-1-2021;88653.00
1-2-2021;166733.00
2-2-2021;324349.00
3-2-2021;10222.00
4-2-2021;141038.00
5-2-2021;26361.00
6-2-2021;6826.00
7-2-2021;94296.00
8-2-2021;62574.00
9-2-2021;0.66
10-2-2021;0.03
11-2-2021;0.10
12-2-2021;0.26
13-2-2021;143799.00
14-2-2021;192647.00
15-2-2021;265842.00
16-2-2021;121961.00
17-2-2021;0.30
18-2-2021;0.00
19-2-2021;0.01
20-2-2021;0.55
21-2-2021;0.49
22-2-2021;66698.00
23-2-2021;21937.00
24-2-2021;0.02
25-2-2021;36886.00
26-2-2021;37515.00
27-2-2021;5335.00
28-2-2021;16627.00
1-3-2021;0.09
2-3-2021;0.60
3-3-2021;0.39
4-3-2021;0.06
5-3-2021;0.58
6-3-2021;50033.00
7-3-2021;0.09
8-3-2021;0.05
9-3-2021;0.24
10-3-2021;0.00
11-3-2021;1767.00
12-3-2021;62974.00
13-3-2021;0.44
14-3-2021;0.78
15-3-2021;0.55
16-3-2021;0.00
17-3-2021;0.00
18-3-2021;0.01
19-3-2021;0.00
20-3-2021;0.15
21-3-2021;0.06
22-3-2021;50716.00
23-3-2021;0.36
24-3-2021;0.21
25-3-2021;0.17
26-3-2021;0.23
27-3-2021;0.00
28-3-2021;0.05
29-3-2021;0.01
30-3-2021;0.00
31-3-2021;0.00
1-4-2021;0.00
2-4-2021;0.00
3-4-2021;0.08
4-4-2021;0.44
5-4-2021;0.00
6-4-2021;0.12
7-4-2021;0.01
8-4-2021;0.00
9-4-2021;0.00
10-4-2021;0.01
11-4-2021;0.00
12-4-2021;0.00
13-4-2021;0.00
14-4-2021;0.00
15-4-2021;0.00
16-4-2021;0.19
17-4-2021;0.01
18-4-2021;0.00
19-4-2021;0.00
20-4-2021;0.00
21-4-2021;0.09
22-4-2021;0.00
23-4-2021;0.00
24-4-2021;0.00
25-4-2021;0.00
26-4-2021;0.00
27-4-2021;0.00
28-4-2021;0.00
29-4-2021;0.00
30-4-2021;13923.00
1-5-2021;0.38
2-5-2021;0.04
3-5-2021;0.00
4-5-2021;0.00
5-5-2021;0.00
6-5-2021;0.00
7-5-2021;0.00
8-5-2021;0.00
9-5-2021;0.00
10-5-2021;0.00
11-5-2021;0.00
12-5-2021;0.00
13-5-2021;0.00
14-5-2021;0.00
15-5-2021;0.00
16-5-2021;0.00
17-5-2021;0.00
18-5-2021;0.05
19-5-2021;0.00
20-5-2021;0.00
21-5-2021;0.00
22-5-2021;0.01
23-5-2021;0.00
24-5-2021;0.00
25-5-2021;0.00
26-5-2021;0.00
27-5-2021;0.00
28-5-2021;0.00
29-5-2021;0.00
30-5-2021;0.00
31-5-2021;0.31
1-6-2021;0.00
2-6-2021;0.00
3-6-2021;0.00
4-6-2021;0.43
5-6-2021;0.00
6-6-2021;0.13
7-6-2021;0.16
8-6-2021;0.21
9-6-2021;0.00
10-6-2021;0.00
11-6-2021;0.00
12-6-2021;0.00
13-6-2021;0.00
14-6-2021;0.00
15-6-2021;0.00
16-6-2021;0.00
17-6-2021;0.00
18-6-2021;0.00
19-6-2021;0.42
20-6-2021;0.21
21-6-2021;0.32
22-6-2021;0.00
23-6-2021;0.00
24-6-2021;0.00
25-6-2021;0.00
26-6-2021;0.00
27-6-2021;0.00
28-6-2021;0.00
29-6-2021;0.00
30-6-2021;0.00
1-7-2021;0.00
2-7-2021;0.00
3-7-2021;0.00
4-7-2021;0.00
5-7-2021;0.00
6-7-2021;0.18
7-7-2021;0.00
8-7-2021;0.00
9-7-2021;0.00
10-7-2021;0.00
11-7-2021;0.00
12-7-2021;0.00
13-7-2021;0.00
14-7-2021;0.00
15-7-2021;0.15
16-7-2021;0.31
17-7-2021;0.20
18-7-2021;0.00
19-7-2021;0.00
20-7-2021;0.00
21-7-2021;0.00
22-7-2021;0.00
23-7-2021;0.00
24-7-2021;0.00
25-7-2021;0.00
26-7-2021;0.00
27-7-2021;0.00
28-7-2021;0.00
29-7-2021;0.00
30-7-2021;0.00
31-7-2021;0.00
1-8-2021;0.00
2-8-2021;0.00
3-8-2021;0.39
4-8-2021;0.00
5-8-2021;0.00
6-8-2021;0.00
7-8-2021;0.00
8-8-2021;0.00
9-8-2021;0.00
10-8-2021;0.01
11-8-2021;0.00
12-8-2021;0.00
13-8-2021;0.00
14-8-2021;0.12
15-8-2021;0.00
16-8-2021;0.00
17-8-2021;0.00
18-8-2021;0.00
19-8-2021;0.00
20-8-2021;0.00
21-8-2021;0.28
22-8-2021;0.00
23-8-2021;0.00
24-8-2021;0.00
25-8-2021;0.01
26-8-2021;0.00
27-8-2021;0.00
28-8-2021;0.00
29-8-2021;0.47
30-8-2021;0.01
31-8-2021;0.00
1-9-2021;0.00
2-9-2021;0.01
3-9-2021;0.00
4-9-2021;0.00
5-9-2021;0.00
6-9-2021;0.00
7-9-2021;0.00
8-9-2021;0.36
9-9-2021;0.49
10-9-2021;0.01
11-9-2021;0.00
12-9-2021;0.00
13-9-2021;0.00
14-9-2021;0.00
15-9-2021;0.00
16-9-2021;0.00
17-9-2021;0.00
18-9-2021;0.03
19-9-2021;0.00
20-9-2021;0.07
21-9-2021;0.00
22-9-2021;0.13
23-9-2021;0.00
24-9-2021;0.00
25-9-2021;0.00
26-9-2021;0.00
27-9-2021;0.00
28-9-2021;0.00
29-9-2021;0.00
30-9-2021;0.59
1-10-2021;0.02
2-10-2021;12519.00
3-10-2021;0.06
4-10-2021;0.10
5-10-2021;0.21
6-10-2021;0.01
7-10-2021;0.11
8-10-2021;26622.00
9-10-2021;0.00
10-10-2021;0.15
11-10-2021;0.07
12-10-2021;0.00
13-10-2021;0.00
14-10-2021;0.00
15-10-2021;0.00
16-10-2021;0.00
17-10-2021;0.20
18-10-2021;0.51
19-10-2021;0.06
20-10-2021;0.00
21-10-2021;0.00
22-10-2021;0.13
23-10-2021;0.00
24-10-2021;11951.00
25-10-2021;0.13
26-10-2021;20812.00
27-10-2021;0.17
28-10-2021;0.14
29-10-2021;0.00
30-10-2021;0.34
31-10-2021;0.00
1-11-2021;0.00
2-11-2021;0.00
3-11-2021;0.00
4-11-2021;0.00
5-11-2021;0.11
6-11-2021;0.07
7-11-2021;0.13
8-11-2021;0.22
9-11-2021;1.17
10-11-2021;0.10
11-11-2021;0.16
12-11-2021;0.00
13-11-2021;0.08
14-11-2021;0.02
15-11-2021;0.03
16-11-2021;0.23
17-11-2021;0.19
18-11-2021;0.83
19-11-2021;16534.00
20-11-2021;0.59
21-11-2021;156165.00
22-11-2021;89008.00
23-11-2021;21919.00
24-11-2021;0.06
25-11-2021;14287.00
26-11-2021;0.77
27-11-2021;0.89
28-11-2021;0.00
29-11-2021;0.20
30-11-2021;0.30
1-12-2021;0.03
2-12-2021;0.00
3-12-2021;0.00
4-12-2021;0.15
5-12-2021;128554.00
6-12-2021;9737.00
7-12-2021;83722.00
8-12-2021;24773.00
9-12-2021;18378.00
10-12-2021;0.11
11-12-2021;0.00
12-12-2021;0.11
13-12-2021;40109.00
14-12-2021;0.87
15-12-2021;0.18
16-12-2021;65925.00
17-12-2021;141207.00
18-12-2021;0.23
19-12-2021;0.48
20-12-2021;0.11
21-12-2021;0.18
22-12-2021;23011.00
23-12-2021;0.51
24-12-2021;0.19
25-12-2021;0.37
26-12-2021;330632.00
27-12-2021;19599.00
28-12-2021;10467.00
29-12-2021;13191.00
30-12-2021;0.24
31-12-2021;0.05
1-1-2022;0.24
2-1-2022;0.18
3-1-2022;0.56
4-1-2022;0.13
5-1-2022;0.00
6-1-2022;0.30
7-1-2022;0.24
8-1-2022;0.77
9-1-2022;0.00
10-1-2022;0.11
11-1-2022;0.15
12-1-2022;0.16
13-1-2022;3171.00
14-1-2022;33364.00
15-1-2022;27058.00
16-1-2022;0.61
17-1-2022;18362.00
18-1-2022;17906.00
19-1-2022;0.00
20-1-2022;0.06
21-1-2022;0.02
22-1-2022;17373.00
23-1-2022;0.05
24-1-2022;0.25
25-1-2022;0.11
26-1-2022;70431.00
27-1-2022;78465.00
28-1-2022;27534.00
29-1-2022;108268.00
30-1-2022;0.75
31-1-2022;0.16
1-2-2022;0.01
2-2-2022;0.00
3-2-2022;0.06
4-2-2022;25022.00
5-2-2022;2703.00
6-2-2022;0.18
7-2-2022;0.05
8-2-2022;0.00
9-2-2022;0.00
10-2-2022;60945.00
11-2-2022;0.00
12-2-2022;0.00
13-2-2022;0.00
14-2-2022;0.00
15-2-2022;0.43
16-2-2022;0.06
17-2-2022;0.00
18-2-2022;0.24
19-2-2022;0.15
20-2-2022;0.28
21-2-2022;0.29
22-2-2022;0.31
23-2-2022;0.01
24-2-2022;0.05
25-2-2022;0.51
26-2-2022;0.15
27-2-2022;0.00
28-2-2022;0.04
1-3-2022;0.04
2-3-2022;0.30
3-3-2022;0.07
4-3-2022;0.00
5-3-2022;0.00
6-3-2022;0.55
7-3-2022;0.99
8-3-2022;0.30
9-3-2022;0.00
10-3-2022;0.01
11-3-2022;0.00
12-3-2022;0.00
13-3-2022;0.00
14-3-2022;0.77
15-3-2022;140454.00
16-3-2022;69404.00
17-3-2022;9227.00
18-3-2022;0.97
19-3-2022;0.00
20-3-2022;0.00
21-3-2022;0.00
22-3-2022;0.01
23-3-2022;0.00
24-3-2022;0.00
25-3-2022;17608.00
26-3-2022;24396.00
27-3-2022;0.55
28-3-2022;0.30
29-3-2022;0.41
30-3-2022;0.00
31-3-2022;0.00
1-4-2022;0.00
2-4-2022;0.00
3-4-2022;0.12
4-4-2022;3554.00
5-4-2022;0.44
6-4-2022;0.02
7-4-2022;0.21
8-4-2022;0.47
9-4-2022;0.90
10-4-2022;14317.00
11-4-2022;0.36
12-4-2022;0.07
13-4-2022;0.00
14-4-2022;0.00
15-4-2022;0.01
16-4-2022;12767.00
17-4-2022;5126.00
18-4-2022;15179.00
19-4-2022;0.54
20-4-2022;23888.00
21-4-2022;40253.00
22-4-2022;0.27
23-4-2022;0.01
24-4-2022;0.16
25-4-2022;0.51
26-4-2022;11539.00
27-4-2022;0.08
28-4-2022;0.00
29-4-2022;0.00
30-4-2022;0.00
1-5-2022;0.04
2-5-2022;0.00
3-5-2022;0.00
4-5-2022;0.01
5-5-2022;0.08
6-5-2022;0.00
7-5-2022;0.00
8-5-2022;0.00
9-5-2022;0.00
10-5-2022;0.02
11-5-2022;0.00
12-5-2022;0.00
13-5-2022;0.00
14-5-2022;0.00
15-5-2022;0.64
16-5-2022;0.70
17-5-2022;0.71
18-5-2022;0.41
19-5-2022;0.05
20-5-2022;0.66
21-5-2022;3248.00
22-5-2022;0.25
23-5-2022;0.00
24-5-2022;0.00
25-5-2022;0.00
26-5-2022;0.00
27-5-2022;0.02
28-5-2022;0.14
29-5-2022;0.00
30-5-2022;0.00
31-5-2022;0.74
1-6-2022;0.00
2-6-2022;0.00
3-6-2022;0.00
4-6-2022;0.00
5-6-2022;0.00
6-6-2022;0.66
7-6-2022;0.00
8-6-2022;0.00
9-6-2022;0.00
10-6-2022;0.00
11-6-2022;0.00
12-6-2022;0.00
13-6-2022;0.00
14-6-2022;0.00
15-6-2022;0.00
16-6-2022;0.00
17-6-2022;0.00
18-6-2022;0.00
19-6-2022;0.00
20-6-2022;0.00
21-6-2022;0.08
22-6-2022;0.40
23-6-2022;0.07
24-6-2022;0.00
25-6-2022;0.48
26-6-2022;0.14
27-6-2022;0.48
28-6-2022;0.29
29-6-2022;0.94
30-6-2022;0.11
1-7-2022;0.05
2-7-2022;0.00
3-7-2022;0.00
4-7-2022;0.00
5-7-2022;0.00
6-7-2022;0.00
7-7-2022;0.00
8-7-2022;0.00
9-7-2022;0.00
10-7-2022;0.00
11-7-2022;0.00
12-7-2022;0.00
13-7-2022;0.00
14-7-2022;0.00
15-7-2022;0.00
16-7-2022;0.07
17-7-2022;0.03
18-7-2022;0.00
19-7-2022;0.01
20-7-2022;23224.00
21-7-2022;0.05
22-7-2022;0.16
23-7-2022;0.04
24-7-2022;0.00
25-7-2022;0.02
26-7-2022;0.00
27-7-2022;0.00
28-7-2022;0.00
29-7-2022;0.00
30-7-2022;0.00
31-7-2022;0.00
1-8-2022;0.20
2-8-2022;15125.00
3-8-2022;0.02
4-8-2022;0.00
5-8-2022;0.00
6-8-2022;0.00
7-8-2022;0.00
8-8-2022;0.00
9-8-2022;0.00
10-8-2022;0.00
11-8-2022;0.00
12-8-2022;0.00
13-8-2022;0.00
14-8-2022;0.00
15-8-2022;0.00
16-8-2022;0.00
17-8-2022;0.00
18-8-2022;0.00
19-8-2022;0.00
20-8-2022;0.00
21-8-2022;0.01
22-8-2022;0.00
23-8-2022;0.00
24-8-2022;0.00
25-8-2022;0.00
26-8-2022;0.00
27-8-2022;0.00
28-8-2022;0.00
29-8-2022;0.00
30-8-2022;0.00
31-8-2022;0.02
1-9-2022;0.00
2-9-2022;0.00
3-9-2022;0.00
4-9-2022;0.00
5-9-2022;0.00
6-9-2022;0.00
7-9-2022;0.01
8-9-2022;0.00
9-9-2022;0.00
10-9-2022;0.00
11-9-2022;0.00
12-9-2022;0.00
13-9-2022;0.00
14-9-2022;0.34
15-9-2022;0.00
16-9-2022;0.00
17-9-2022;0.00
18-9-2022;0.00
19-9-2022;0.01
20-9-2022;0.84
21-9-2022;0.43
22-9-2022;0.10
23-9-2022;0.00
24-9-2022;0.00
25-9-2022;0.00
26-9-2022;0.00
27-9-2022;0.00
28-9-2022;0.01
29-9-2022;0.00
30-9-2022;0.00
1-10-2022;0.00
2-10-2022;0.00
3-10-2022;0.00
4-10-2022;0.00
5-10-2022;0.05
6-10-2022;0.00
7-10-2022;0.00
8-10-2022;0.05
9-10-2022;0.00
10-10-2022;0.08
11-10-2022;0.01
12-10-2022;0.00
13-10-2022;0.00
14-10-2022;0.00
15-10-2022;0.03
16-10-2022;0.22
17-10-2022;0.14
18-10-2022;0.01
19-10-2022;0.05
20-10-2022;0.00
21-10-2022;0.00
22-10-2022;0.00
23-10-2022;0.27
24-10-2022;0.45
25-10-2022;0.00
26-10-2022;0.31
27-10-2022;0.52
28-10-2022;0.02
29-10-2022;0.00
30-10-2022;0.00
31-10-2022;33664.00
1-11-2022;27907.00
2-11-2022;33072.00
3-11-2022;0.13
4-11-2022;0.39
5-11-2022;0.02
6-11-2022;0.26
7-11-2022;37786.00
8-11-2022;142354.00
9-11-2022;0.06
10-11-2022;0.63
11-11-2022;10797.00
12-11-2022;110018.00
13-11-2022;113739.00
14-11-2022;0.24
15-11-2022;0.02
16-11-2022;0.00
17-11-2022;0.00
18-11-2022;0.00
19-11-2022;0.00
20-11-2022;0.00
21-11-2022;0.00
22-11-2022;0.47
23-11-2022;0.03
24-11-2022;0.00
25-11-2022;0.05
26-11-2022;53887.00
27-11-2022;260042.00
28-11-2022;0.87
29-11-2022;0.00
30-11-2022;0.02
1-12-2022;0.00
2-12-2022;0.00
3-12-2022;0.33
4-12-2022;0.12
5-12-2022;0.17
6-12-2022;0.61
7-12-2022;35665.00
8-12-2022;0.87
9-12-2022;0.31
10-12-2022;10534.00
11-12-2022;0.58
12-12-2022;10453.00
13-12-2022;0.51
14-12-2022;0.47
15-12-2022;64122.00
16-12-2022;149476.00
17-12-2022;111709.00
18-12-2022;34559.00
19-12-2022;0.74
20-12-2022;0.37
21-12-2022;0.85
22-12-2022;0.30
23-12-2022;0.00
24-12-2022;0.00
25-12-2022;0.00
26-12-2022;0.00
27-12-2022;0.02
1-1-2023;0.68
2-1-2023;0.50
